datetime,ln_null_GLM,ln_01_GLM,ln_05_GLM,ln_1_GLM,ln_15_GLM,ln_2_GLM,ln_25_GLM,ln_3_GLM,ln_35_GLM,ln_4_GLM,ln_45_GLM,ln_5_GLM,ln_10_GLM,id
2006-08-13,5.50476160155446,5.81894931981607,5.54470384184675,5.57149938426858,5.73545011602901,6.67494828486998,6.21977991721223,5.81529257604967,5.81262936317247,5.6248565661162,5.67548490711212,5.31210040685561,6.69317349999899,mendota
2006-08-14,2.54206356965995,2.68886965035943,2.55854079790394,2.58675313922324,2.64900465930895,3.09262738116913,2.8765071313102,2.69186264847235,2.69323576090819,2.6015862520009,2.6312279443913,2.46378036622453,4.45080716003798,mendota
2006-08-15,9.86575103352827,10.3496792797373,9.83111451256311,9.9355611982216,10.1960742283142,11.8860285134094,12.1680702543905,10.3467858637365,10.3814100197573,9.98990376695022,10.1321733183077,9.4896901384476,11.4621804887756,mendota
2006-08-16,17.3957978089354,18.2508339574344,17.2797911411421,17.8154803977957,17.9681602837721,20.8821007655486,21.2121031422899,18.2093475057753,18.3182691342943,17.5665758811872,17.8708452472873,16.7076577461889,20.5788834078012,mendota
2006-08-17,13.5888233499792,14.2517776749487,13.4688231827788,13.8810704006572,14.0229930432423,16.2879883946612,16.6776229966012,14.1840393730342,14.2831869981284,13.6646390006815,13.9181221756223,13.0018496254867,16.0195368587725,mendota
2006-08-18,41.9023967125971,44.0057988242535,41.6699465463745,42.827864492681,43.3639689579173,50.2772506872296,51.5056478542675,43.8573649032045,44.2979458943452,42.2664734360916,43.0565813976836,40.21945111513,50.0434554574369,mendota
2006-08-19,6.21924099575357,6.52274757766808,6.16559941575433,6.33746069512774,6.42106035463646,7.45037739439159,7.61883569319924,6.46602579178201,6.55032309204935,6.24344446113313,6.36129364977954,5.94494606310309,7.57870631164377,mendota
2006-08-20,23.0204028432481,24.2244307733928,22.9618562652365,23.5974419225645,23.8664338949316,27.6138283634619,25.51529264406,23.979212595283,24.3874590309206,23.2574201237733,23.5972558437905,22.2125279434204,28.1608117447626,mendota
2006-08-21,7.82408583875651,8.1893846922156,7.75554516034444,7.97334631177832,8.07176228259617,9.33476212180258,9.589484021226,8.15685014141847,8.23666050292907,7.84588421472397,8.03787237646419,7.50086228189377,9.51754725905601,mendota
2006-08-22,7.81486413644634,8.23963547567925,7.75727535228847,8.00368234292895,8.08412765109019,9.38650109768352,9.57626190450643,8.17613830469378,8.28424492762053,7.85973135347958,8.04149299935173,7.52134029243092,9.5593481150912,mendota
2006-08-23,9.93019861508174,10.4676762869957,9.84087626225617,10.1668939994664,10.2967140380999,11.8864458170312,12.0533233080183,10.371066958537,10.5442646922917,9.97301687310132,10.252722224611,9.57316888746173,12.1295660478897,mendota
2006-08-24,10.2765533549169,10.7810036208357,10.1267248826997,10.4926531570007,10.614659272232,12.2254932474166,12.5354222150041,10.7060150831713,10.7937536713654,10.1475445700738,10.5621937269301,9.88061329320729,12.4602596048084,mendota
2006-08-25,12.2537219386582,12.843554874222,12.080838363892,12.5290436719707,12.6828630739109,14.5698044288782,14.8733061502759,12.7548507986431,12.9316455710565,12.2902499402804,12.6131720690903,11.7889806782867,14.8471199546002,mendota
2006-08-26,18.3832669215511,19.2938169476181,18.0033048593796,18.7591508538048,18.96252494575,21.109032526354,22.3307335291231,19.0158249163872,19.4274352997349,18.7705858953255,18.8083105125797,17.6667513968364,22.3267737327459,mendota
2006-08-27,11.4240631565273,12.0704657710347,11.2684667337276,11.8596449538568,11.9969601056706,13.4052035865112,14.159563630488,12.0596294794244,12.2569488396421,11.7738998427104,11.9373394682504,11.2006139894873,14.0852242087753,mendota
2006-08-28,14.7704724085954,15.5435074394715,14.4671719535994,15.3991558317515,15.6083368019927,17.8924201778525,18.3518283762814,15.715433425833,15.921319765121,15.2284878090074,15.5584845057596,14.5963428610604,18.2596692083313,mendota
2006-08-29,23.9951429763325,25.1845994974552,23.7255768796783,24.9927084377273,25.4861516405965,28.755857271199,30.1245894325792,25.8410066177982,26.095536579837,24.7817984274852,25.5457477234332,23.827779683453,29.7364392634615,mendota
2006-08-30,6.99866239580015,7.40936659253461,6.95862014137892,7.39460890710917,7.4873164557257,8.29565921527938,8.82768121922818,7.57891971581621,7.66580665516762,7.27281468320523,7.4965251413495,6.98601383586967,8.77482933976201,mendota
2006-08-31,6.59890120192269,6.9806474036625,6.57459983684391,6.99083177858099,7.07628419529235,7.84782557264637,8.32597948288835,7.16169788044708,7.26005470902755,6.8617248422846,7.08877992708984,6.60035818973478,8.32273488756737,mendota
2006-09-01,5.50524259589668,5.76439726941266,5.53394002294726,5.77328468314776,5.84945532161513,6.46429536887017,6.85926941471579,5.91092874559253,6.01525883889655,5.690989961792,5.85760172333716,5.43983503664249,6.92165076660884,mendota
2006-09-02,17.8255941863022,18.7710380292309,17.9379020954871,18.6995112919355,18.9983583977052,20.9830673885504,22.256558765297,19.1824287438457,19.4451361799438,18.3904209217114,18.9719304129642,17.5974938241229,22.4550365528461,mendota
2006-09-03,18.5950489232308,19.5942638065046,18.7805501473289,19.5767599311714,19.8363298162942,21.9854912164007,23.2542367072057,19.9974705388406,20.3584546912488,19.2911447024072,20.1411647184539,18.3920341135528,23.7321269528177,mendota
2006-09-04,39.9001927555512,42.0875805556297,40.4260607329319,42.3310570954916,42.8290190610649,47.4033534474958,50.0881816024917,43.1287799037741,44.1111385448864,41.6257670900049,43.4972981775912,39.7512368400573,51.7310712746645,mendota
2006-09-05,17.1230901630606,18.0933734670471,17.4288998269242,18.2390214207524,18.4696591216982,20.4657887005604,21.59327152833,18.5574345640749,19.0069451416534,17.9545645913197,18.7456250960002,17.1166281212382,22.3184525776445,mendota
2006-09-06,11.3364164407321,12.0367401541886,11.5227654010749,12.1643323239967,12.3239536169062,13.6471181323038,14.40390198545,12.3929244472381,12.6768985057204,11.9694035687491,12.5164844077735,11.4369979730611,14.8993688404143,mendota
2006-09-07,5.03451883222762,5.35030189368509,5.18452758714327,5.41982288802789,5.48844899398259,6.08275388512006,6.40573207630609,5.51222608997664,5.65468365482814,5.34751546992142,5.56716258382379,5.08111442116302,6.64339926103343,mendota
2006-09-08,3.97475177702319,4.19954517597523,4.08436464336002,4.32826540081106,4.3268784928833,4.75897307166706,5.03778974850124,4.35513779460372,4.46641164096357,4.2062047411489,4.39785864976966,4.02126937336837,5.23937590672825,mendota
2006-09-09,4.30245811796982,4.59354875594942,4.37792550257383,4.62862920337,4.6769584216889,5.31372597490138,5.04316121502869,4.65270856542988,4.80099605076627,4.52074669637445,4.72421185979736,4.30668675115462,5.67504151448774,mendota
2006-09-10,3.07534470668783,3.28824204462123,3.17070671819803,3.36626580169105,3.41248202634466,3.84542848018115,3.64946956661876,3.39921357586847,3.49602860512791,3.28448842861205,3.43908479455808,3.1419262476113,4.12745545829744,mendota
2006-09-11,1.51100046303437,1.60782749847111,1.54404325694285,1.65081903313618,1.67237944145438,1.88698576331411,1.79249579497519,1.66219697738754,1.72879999009048,1.60706186507709,1.68768469339734,1.53486610802219,2.04816455990551,mendota
2006-09-12,4.74392835264728,5.0006424668508,4.83175018858704,5.18961347870762,5.25568436303018,5.92178669036708,5.60392513894397,5.23709213825956,5.44252974196737,5.04264173891369,5.30777231093732,4.86806254061866,6.48458517010697,mendota
2006-09-13,4.51979430550449,4.76126585387302,4.6166744802965,4.97890717220333,5.03805775099646,5.67584314737162,5.38091940344472,5.03036983581582,5.22821811445992,6.84899769206996,5.09100373709958,4.66375693351907,6.26285114916831,mendota
2006-09-14,9.51134154800508,9.98547914086653,9.73994600544202,10.5851846447896,14.7083617763438,12.0327046843776,11.425654831846,10.6969356512791,11.1137896849489,14.5116418985077,10.818286506566,9.90924094865126,13.3613705649743,mendota
2006-09-15,3.14460152756233,3.29829607338937,3.24131183859525,3.52937660020661,4.91067584175965,3.97383688178167,3.84434591745295,3.56904431152891,3.72320086486332,4.83577640834627,3.61055254228177,3.29604005391132,4.48543483378329,mendota
2006-09-16,0.760322550920507,0.799293735313339,0.790604227180115,0.862778869538942,1.19870402874609,0.969202508239431,0.937850688824415,0.876883320351122,0.915180131973251,1.16624698568537,0.88280053581445,0.810887503418805,1.10817339995468,mendota
